new_time,dla_stromverbrauch_kwh,dla_volume_out_m3_per_m,dla_master_ae1_pressure_bar,dla_volume_out_m3,ofen_zuschlaege_kg,ofen_metall_kg,ofen_g_koks_kg,ofen_f_koks_kg,ofen_abwaerme_nestle_5893_mw,ofen_abwaerme_energievernichtung_6004/05_mw,ofen_abwaerme_heizkessel_6300_mw,ofen_abwaerme_energievernichtung_6506-9_mw,pl2_stromverbrauch_kwh,pl2_kasten_anzahl,pl2_gießgewicht_kg,pl2_volume_m3_542000
2023-01-01 04:15:00,0.024357692827232203,,,,,,,,0.0,0.10075,0.02926195557026481,0.05683900346636069,0.008780745785258778,0.0,0.0,0.06309698286753929
2023-01-01 04:30:00,0.021331892476023233,,,,,,,,0.0,0.17325000000000002,0.0,0.045281964711607205,0.00703178905780156,0.0,0.0,0.07353312781118916
2023-01-01 04:45:00,0.024206402809671755,,,,,,,,0.0,0.12658637873754153,0.0,0.0458900802192547,0.008921783708269895,0.0,0.0,0.07125890736342042
2023-01-01 05:00:00,0.022390922598946372,,,,,,,,0.0,0.12408028792912515,0.0,0.043381473395192285,0.006949486907531405,0.0,0.0,0.07058927578713295
2023-01-01 05:15:00,0.024357692827232203,,,,,,,,0.0,0.07683333333333335,0.05745984002888362,0.049570609827162576,0.008951331765722404,0.0,0.0,0.0711704654571183
2023-01-01 05:30:00,0.022088342563825476,,,,,,,,0.0,0.099,0.018887262231716374,0.052977645878515174,0.00674848804842154,0.0,0.0,0.06898468691565168
2023-01-01 05:45:00,0.025114142915034447,,,,,,,,0.0,0.09883333333333333,0.0,0.057038003808791475,0.009090207635749189,0.0,0.0,0.06889624500934956
2023-01-01 06:00:00,0.021331892476023233,,,,,,,,0.0,0.10108333333333334,0.030060008903999298,0.04258832611425172,0.006651123595693887,0.0,0.0,0.07362156971749129
2023-01-01 06:15:00,0.02571930298527624,,,,,,,,0.0,0.07491666666666667,0.0,0.041581309287083146,0.009133304558570164,0.0,0.0,0.06706423409309142
2023-01-01 06:30:00,0.02344995272186951,,,,,,,,0.0,-0.0225874861572536,0.0,0.048210080174547296,0.0065853971849702585,0.0,0.0,0.0739374336685703
2023-01-01 06:45:00,0.022390922598946372,,,,,,,,0.0,0.02375415282392025,0.022611511122477352,0.042250218881665434,0.009225552152568237,0.0,0.0,0.07411431748117452
2023-01-01 07:00:00,0.02390382277455086,,,,,,,,0.0,0.196,0.0,0.03900556900580931,0.006573722098854878,0.0,0.0,0.06604083489159548
2023-01-01 07:15:00,0.02284479265162772,,,,,,,,0.0,0.15133333333333335,0.0,0.0495383192055606,0.009109017496712859,0.0,0.0,0.07210542275231212
2023-01-01 07:30:00,0.02360124273942996,,,,,,,,0.0,0.10125,0.0,0.05377890386105722,0.006697391529558545,0.0,0.0,0.06679890837418506
2023-01-01 07:45:00,0.022542212616506824,,,,,,,,0.0,0.04992165005537098,0.0,0.04576617434566572,0.009026643278009892,0.0,0.0,0.07267791321839889
2023-01-01 08:00:00,0.02450898284479265,,,,,,,,0.0,0.05149501661129568,0.011837791117061673,0.04694470594173585,0.00683684394704782,0.0,0.0,0.06924566303260875
2023-01-01 08:15:00,0.02360124273942996,,,,,,,,0.0,0.04841666666666665,0.09204215115737839,0.0576725520705047,0.008960412388256588,0.0,0.0,0.06949048348518277
2023-01-01 08:30:00,0.022542212616506824,,,,,,,,0.0,0.026583333333333323,0.01369991556244216,0.05482726006858157,0.007008799227734852,0.0,0.0,0.07338151311467124
